combined_info
"Product Name: AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka. Product Brand: AccessHer. Gender: Women. Price (INR): 979. Number of Images: 3. Description: Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire. Primary Color:  Pink"
"Product Name: Parx Men Blue Slim Fit Printed Casual Shirt. Product Brand: Parx. Gender: Men. Price (INR): 779. Number of Images: 5. Description: Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket. Primary Color: Blue"
"Product Name: Alcis Women Yellow & Blue Colorblocked Tights. Product Brand: Alcis. Gender: Women. Price (INR): 749. Number of Images: 6. Description: Alcis Women  Yellow & Blue Colorblocked Tights, three-fouth length, elasticated waist. Primary Color: Blue"
"Product Name: ID Men Brown Leather Formal Slip-Ons. Product Brand: ID. Gender: Men. Price (INR): 956. Number of Images: 5. Description: A pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer. Primary Color:  Brown"
"Product Name: Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail. Product Brand: Difference of Opinion. Gender: Men. Price (INR): 499. Number of Images: 5. Description: Navy Blue Solid T-shirt, has a round neck, long sleeves, has side stripes in the sleeves. Primary Color: Blue"
"Product Name: Parx Men Blue Slim Fit Checked Casual Shirt. Product Brand: Parx. Gender: Men. Price (INR): 769. Number of Images: 5. Description: Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket. Primary Color: Blue"
"Product Name: Michael Kors Extreme Blue For Men Edt 70 ml. Product Brand: Michael Kors. Gender: Men. Price (INR): 4275. Number of Images: 2. Description: What it is:Extreme Blue For Men EdWhat it does:Masculine and sensuous at the same time is this 'Blue Eau De Toilette' from Michael Kors. Exuding unmatched freshness, this EDT is a must-have in your collection of fragrances. Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom. The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli.. Primary Color: Blue"
"Product Name: Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress. Product Brand: Tokyo Talkies. Gender: Women. Price (INR): 499. Number of Images: 5. Description: Off-White and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem. Primary Color:  White"
"Product Name: HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt. Product Brand: HIGHLANDER. Gender: Men. Price (INR): 699. Number of Images: 5. Description: Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket. Primary Color: Blue"
"Product Name: her by invictus Women Brown Solid Cushioned Mules. Product Brand: her by invictus. Gender: Women. Price (INR): 1044. Number of Images: 6. Description: A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole. Primary Color:  Brown"
"Product Name: ID Men Beige Leather Derbys. Product Brand: ID. Gender: Men. Price (INR): 2685. Number of Images: 5. Description: A pair of round-toe beige derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer. Primary Color:  Beige"
"Product Name: SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans. Product Brand: SPYKAR. Gender: Women. Price (INR): 1124. Number of Images: 7. Description: Blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops. Primary Color: Blue"
